i,j,ckt_id
996,10075,1
996,50013,1
996,50013,2
997,500165,A
997,500600,1
998,50030,F1
998,50030,F2
998,500650,1
998,500900,1
1000,500780,1
1001,500760,1
1001,500790,1
1001,500840,1
1003,500150,1
1003,500762,1
1003,500764,2
1004,996,1
1004,1001,1
1004,500405,1
1004,500770,1
1004,500790,1
1004,501811,1
1004,501812,1
1004,501813,1
1006,500330,1
1006,500775,1
1007,500632,A
1008,500816,1
1008,500850,1
1009,993,A
1009,999,1
1009,50033,T1
1009,50033,T2
1009,500440,1
1009,500820,1
1009,501824,1
1010,500290,1
1010,500820,1
1011,500940,2
1014,258246,1
1015,1447,1
1016,1466,3
1016,259717,2
1017,258214,3
1018,256945,1
1019,258588,1
1019,258947,1
1020,256990,1
1020,263650,1
1021,1347,1
1021,258219,1
1021,258220,Z1
1021,259020,1
1022,259825,1
1023,263617,1
1024,258225,1
1024,258893,1
1025,259733,3
1026,258410,1
1026,258917,1
1027,258543,1
1028,1029,1
1029,258241,2
1029,258294,1
1029,258317,1
1031,258206,1
1031,258271,1
1031,258318,1
1031,258875,1
1032,1031,1
1033,258250,1
1033,258566,1
1034,258255,1
1034,258381,1
1036,1515,Z1
1036,256061,S
1036,256088,1
1036,256311,3
1036,258258,F1
1037,258258,1
1037,258329,1
1037,258695,1
1037,258699,1
1037,258731,1
1038,1523,1
1039,1040,F5
1039,256098,1
1039,259695,1
1040,258267,1
1040,258360,1
1041,259787,3
1042,258270,2
1043,259070,1
1044,258451,1
1044,259010,1
1045,1325,1
1045,258979,1
1046,258819,1
1046,259080,1
1047,1106,1
1047,256738,S
1047,258279,F1
1048,1049,1
1049,258832,1
1049,259176,1
1052,258481,1
1053,1054,2
1053,1056,F2
1053,256235,1
1053,257512,1
1054,256205,1
1055,258293,3
1056,258770,1
1056,259005,1
1056,259814,1
1058,256238,2
1058,256238,3
1058,258292,F2
1060,1227,1
1060,259206,1
1061,258887,2
1061,259097,1
1062,256047,1
1063,258308,1
1063,258372,1
1063,259039,1
1065,258809,1
1065,259161,1
1066,258285,1
1067,259124,1
1069,1068,1
1069,259857,2
1070,256292,1
1071,256247,1
1071,256423,B4
1072,1247,2
1072,258310,1
1072,258704,2
1072,259026,1
1073,1072,1
1074,258382,1
1075,1079,F3
1075,256153,1
1075,256724,2
1076,258653,1
1076,259063,1
1077,1079,2
1078,1188,1
1079,1076,4
1079,258821,1
1080,1522,1
1080,258778,1
1081,258348,2
1082,1390,1
1082,259859,1
1083,258351,1
1084,1085,4
1084,257015,1
1084,259718,1
1086,256475,1
1089,1091,4
1090,257046,1
1090,259220,1
1092,258740,1
1093,256105,S
1093,258391,F1
1095,1012,1
1095,258878,1
1095,259090,1
1095,259978,1
1096,258382,1
1096,259841,1
1097,1098,1
1098,258685,1
1099,1101,1
1099,259028,1
1099,259029,1
1099,259812,1
1100,1099,2
1101,258814,1
1102,258769,1
1102,258925,1
1103,258927,1
1103,259209,2
1104,258394,1
1104,258415,1
1104,258416,1
1104,258886,1
1105,1231,1
1106,256126,1
1107,258877,1
1108,256664,1
1108,256711,1
1109,1112,3
1110,256115,S
1110,256155,1
1110,258126,1
1112,1113,1
1113,258411,1
1113,259139,1
1115,259953,1
1116,1463,Z1
1116,259220,1
1117,256141,1
1118,258463,1
1119,1118,3
1120,1118,2
1121,1153,1
1121,256618,F2
1121,258419,1
1121,259170,1
1123,259733,2
1125,1476,2
1126,259184,1
1127,258953,1
1128,256120,1
1129,258434,2
1134,1138,1
1134,258437,2
1134,259127,1
1135,259231,2
1136,258451,2
1136,258981,1
1137,1159,1
1137,256671,F1
1137,258444,1
1138,1139,1
1141,256126,S
1141,256244,1
1141,256286,1
1141,257043,1
1141,258453,F1
1142,258458,1
1143,256715,1
1144,256132,1
1145,258811,1
1146,1237,3
1147,1148,1
1147,1285,6
1147,259953,1
1148,258643,1
1149,1517,2
1150,259164,1
1151,1169,Z1
1151,256699,F2
1152,1151,3
1152,256699,F1
1155,1154,1
1155,259255,3
1157,258935,1
1159,258969,1
1160,256722,F2
1160,258879,Z1
1161,259445,1
1162,259051,1
1163,1252,2
1163,259807,1
1164,258515,1
1165,258531,1
1166,1167,1
1166,256145,S
1166,256231,1
1166,256524,1
1166,256524,2
1166,258530,F1
1167,256281,1
1167,256316,1
1167,257062,2
1167,258528,F2
1169,256809,F1
1170,1171,2
1170,1499,Z1
1170,256809,F3
1171,1169,1
1171,256809,F2
1172,1173,1
1172,259456,1
1175,1174,1
1175,259108,1
1176,1189,2
1178,256167,1
1179,263418,1
1180,256159,1
1180,256752,S
1182,1196,1
1183,1285,5
1186,1187,1
1187,1318,2
1187,1381,1
1190,256365,1
1192,259073,2
1192,259093,1
1193,1265,2
1193,256856,1
1193,259734,1
1195,258727,2
1195,259196,1
1197,1539,1
1198,1337,3
1198,258874,1
1199,258598,1
1200,1203,F2
1200,258044,1
1201,1329,1
1201,258623,Z1
1203,1201,2
1203,1202,3
1203,258624,1
1203,258914,1
1203,259885,1
1204,256234,1
1204,256245,1
1204,256286,1
1204,256327,4
1204,258628,F7
1206,256778,1
1207,258633,3
1208,258633,1
1209,259058,1
1211,256187,1
1211,256536,1
1212,259787,1
1213,258636,2
1214,258636,1
1215,258813,1
1217,1340,4
1217,259806,2
1221,1220,1
1221,256919,F2
1221,258617,Z1
1221,259216,2
1222,256924,F2
1222,258739,1
1223,258091,Z1
1224,258365,1
1225,258873,1
1225,259194,1
1226,258984,Z1
1227,259865,1
1228,258658,F2
1229,258658,1
1230,259729,1
1231,1233,F2
1232,1233,1
1233,1368,1
1233,259769,1
1236,1237,1
1238,257040,1
1240,1413,1
1240,256660,S
1242,258841,1
1248,257040,1
1248,258717,F1
1250,1249,2
1250,1257,1
1250,258744,1
1251,1516,Z1
1253,-264564,1
1253,256204,1
1254,258729,Z1
1255,1256,3
1256,258728,2
1256,259024,1
1256,259030,1
1258,1336,1
1258,259945,4
1260,259945,7
1261,259092,1
1264,258966,1
1267,258747,2
1270,1477,2
1271,259783,2
1273,256989,1
1278,1277,2
1278,258764,1
1280,258001,1
1280,259655,1
1282,258775,1
1284,259213,2
1285,1286,2
1290,259148,1
1291,259227,1
1292,1324,2
1292,257013,1
1294,263340,F2
1295,263349,1
1295,263350,1
1295,263351,1
1296,256492,1
1296,263310,1
1297,258807,1
1298,1299,1
1298,259116,1
1300,1301,1
1300,259841,1
1301,1424,1
1302,258814,2
1303,258823,1
1304,257241,1
1304,259891,2
1305,258826,1
1307,259150,Z1
1309,258841,1
1310,1311,2
1310,259324,1
1312,259194,2
1313,258846,2
1314,258846,1
1316,258652,1
1316,258944,1
1316,259053,1
1317,1316,2
1317,258923,1
1322,258490,1
1324,258801,1
1324,258870,1
1325,1327,1
1326,1325,2
1327,1083,1
1330,256591,1
1332,1333,3
1332,258192,1
1335,259929,2
1337,1340,2
1338,259806,1
1339,1337,2
1340,258595,1
1342,256255,1
1343,263381,1
1344,1345,S
1346,259025,1
1347,259169,1
1349,1538,1
1349,259736,1
1349,259739,2
1351,259800,2
1353,259767,1
1353,259769,1
1355,1360,Z1
1357,258990,1
1358,256019,1
1358,256019,2
1358,256019,3
1358,256022,1
1358,256029,1
1358,256338,1
1364,258935,1
1365,258984,2
1365,259605,1
1366,259147,2
1368,258939,1
1368,259055,1
1369,1532,1
1369,258939,1
1371,1372,3
1371,1410,Z1
1371,258926,1
1371,258943,1
1372,1370,2
1374,259112,1
1375,259659,1
1376,258951,1
1376,259839,1
1377,258994,1
1377,259155,1
1379,1380,1
1379,259257,2
1380,1476,1
1380,259083,1
1381,259147,3
1385,259098,1
1385,259433,1
1386,1387,2
1386,1388,1
1386,1415,1
1386,258997,1
1391,258971,2
1392,1393,2
1394,256258,1
1394,256789,1
1395,1396,1
1396,258370,1
1396,258978,2
1397,256259,S
1397,256263,1
1397,258983,F2
1398,1400,2
1399,258984,3
1400,1401,1
1400,258984,1
1402,1403,2
1403,258690,1
1405,257130,F2
1405,258993,1
1407,259608,2
1408,258997,2
1409,1488,1
1411,259170,1
1412,1534,1
1413,256232,1
1413,256264,S
1414,263673,1
1416,259010,F1
1419,263452,1
1421,259088,1
1422,256759,S
1424,1425,2
1426,257149,F2
1427,1428,3
1427,258889,1
1429,259221,2
1430,257154,F1
1430,259037,1
1431,1432,1
1435,1436,1
1437,259115,2
1439,1070,1
1439,259046,F1
1440,259172,1
1441,1376,1
1441,1443,2
1441,1472,1
1442,1441,1
1444,257166,1
1444,259878,1
1447,258949,1
1449,259838,1
1451,1452,2
1451,259067,1
1455,259163,1
1457,1458,3
1459,259079,F1
1461,257176,F2
1461,258534,1
1462,1464,F2
1462,256754,1
1463,1464,1
1465,259083,2
1467,1468,1
1469,259776,1
1474,259107,2
1481,257193,1
1482,257194,F1
1482,259776,2
1483,259128,1
1484,259129,1
1485,256116,1
1487,259874,2
1489,1491,F2
1489,256664,S
1491,1490,1
1491,259147,2
1492,259144,1
1494,258461,1
1494,258844,1
1494,259398,1
1496,257205,1
1496,258417,1
1499,1498,1
1500,1499,2
1502,259157,F1
1507,259166,F1
1508,259167,2
1509,257216,F1
1510,259853,1
1511,259253,1
1512,1514,F9
1512,256313,S
1514,259180,1
1515,1517,F6
1516,1517,2
1518,1519,1
1520,1522,F3
1520,256315,S
1521,1522,2
1522,259192,1
1526,1527,1
1527,1528,3
1527,260001,1
1529,256328,8
1530,259196,1
1533,259048,1
1534,259165,3
1535,259749,2
1539,259895,1
1544,7164,1
1545,304512,2
1545,304517,1
1547,304174,1
1548,304028,5
1548,304029,1
1548,304032,_1
1548,304033,4
1548,304034,3
1548,304559,2
1548,304559,A
1548,304583,1
1548,304583,B
1549,304407,1
1549,304414,_1
1551,304208,1
1552,304399,2
1553,304137,1
1553,304153,1
1553,304163,1
1553,304185,1
1554,304434,1
1556,306845,1
1557,1558,1
1557,1558,2
1557,304663,1
1558,304635,A
1558,304659,1
1559,314591,1
1564,306190,A
1565,306190,A
1566,509794,1
1567,506928,2
1567,506929,_2
1567,506929,_E
1568,10087,69
1568,504020,1
1568,506992,1
1569,510902,1
1569,515078,1
1570,10093,HS
1570,511471,A
1571,508548,1
1571,508550,1
1571,508582,1
1572,510895,1
1573,508805,1
1573,508805,_B
1573,508805,_C
1574,509863,1
1575,507411,1
1576,1580,1
1576,510898,A
1576,510904,1
1577,510898,1
